"filename", "language", "JavaScript", "Markdown", "CSS", "ASP.NET Razor", "C#", "JSON", "XML", "Properties", "Docker", "HTML", "Vue", "comment", "blank", "total"
"d:\Project2\MyMvcBackend\Server\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Project2\MyMvcBackend\Server\obj\Debug\net9.0\MyMvcBackend.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 5, 23
"d:\Project2\MyMvcBackend\Server\obj\Debug\net9.0\MyMvcBackend.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 8, 58
"d:\Project2\MyMvcBackend\Server\obj\Debug\net9.0\MyMvcBackend.GlobalUsings.g.cs", "C#", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 1, 18
"d:\Project2\MyMvcBackend\Server\obj\Debug\net9.0\MyMvcBackend.MvcApplicationPartsAssemblyInfo.cs", "C#", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 9, 5, 17
"d:\Project2\MyMvcBackend\Server\obj\Debug\net9.0\MyMvcBackend.RazorAssemblyInfo.cs", "C#", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 9, 5, 18
"d:\Project2\MyMvcBackend\Server\obj\Debug\net9.0\MyMvcBackend.sourcelink.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Project2\MyMvcBackend\Server\obj\Debug\net9.0\scopedcss\Views\Shared\_Layout.cshtml.rz.scp.css", "CSS", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 49
"d:\Project2\MyMvcBackend\Server\obj\Debug\net9.0\scopedcss\bundle\MyMvcBackend.styles.css", "CSS", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 50
"d:\Project2\MyMvcBackend\Server\obj\Debug\net9.0\scopedcss\projectbundle\MyMvcBackend.bundle.scp.css", "CSS", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 50
"d:\Project2\MyMvcBackend\Server\obj\Debug\net9.0\staticwebassets.build.endpoints.json", "JSON", 0, 0, 0, 0, 0, 18862, 0, 0, 0, 0, 0, 0, 0, 18862
"d:\Project2\MyMvcBackend\Server\obj\Debug\net9.0\staticwebassets.build.json", "JSON", 0, 0, 0, 0, 0, 21885, 0, 0, 0, 0, 0, 0, 0, 21885
"d:\Project2\MyMvcBackend\Server\obj\Debug\net9.0\staticwebassets.development.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Project2\MyMvcBackend\Server\obj\Debug\net9.0\staticwebassets.pack.json", "JSON", 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0, 0, 0, 281
"d:\Project2\MyMvcBackend\Server\obj\Debug\net9.0\staticwebassets\msbuild.MyMvcBackend.Microsoft.AspNetCore.StaticWebAssetEndpoints.props", "XML", 0, 0, 0, 0, 0, 0, 772, 0, 0, 0, 0, 0, 0, 772
